1144,5,3,20,205,23,8,1,18,18,15
8,3425,59,126,6,1,15,1,0,0,0
5,142,684,140,9,2,7,0,0,0,2
8,86,46,732,19,0,12,0,0,0,1
167,16,0,16,4043,196,44,2,17,39,48
41,1,0,6,201,3461,10,5,60,75,335
30,22,13,22,130,25,2069,1,4,9,1
0,1,0,0,1,3,1,1407,62,13,8
3,0,0,2,7,34,1,92,1653,213,87
16,0,0,2,16,77,0,35,248,1515,328
42,8,0,5,67,287,4,21,147,199,2895
1138,6,2,18,212,21,8,1,19,18,17
9,3423,59,123,9,2,14,1,0,1,0
4,142,691,132,9,3,8,0,0,0,2
7,95,47,724,17,0,13,0,0,0,1
166,15,0,15,4034,199,46,2,19,33,59
45,1,0,6,201,3464,11,4,63,85,315
32,18,11,17,136,20,2075,0,5,9,3
1,1,0,0,1,3,1,1406,62,12,9
3,0,0,3,8,36,1,88,1650,217,86
17,0,0,2,15,75,0,29,253,1531,315
41,9,0,5,68,284,5,21,144,199,2899
1277,9,8,47,124,37,23,7,17,18,5
12,1319,82,132,0,0,6,0,1,1,1
19,93,974,316,1,1,8,0,0,2,2
26,53,107,1151,3,0,7,0,0,1,1
154,5,6,51,1138,146,49,1,15,37,22
73,2,1,23,79,1330,8,8,52,142,119
67,12,44,45,78,39,1354,0,6,14,1
5,0,0,4,0,1,1,1454,75,21,9
30,1,0,12,2,44,3,119,930,276,31
56,1,0,12,6,100,1,61,181,1086,126
69,0,1,9,24,270,7,22,88,251,862
1339,3,6,26,111,23,18,7,12,21,6
8,1341,82,107,1,2,10,0,1,1,1
14,78,1075,236,3,2,5,0,1,0,2
18,29,114,1176,1,1,10,0,0,0,0
141,2,3,23,1246,100,39,1,15,29,25
47,2,0,12,61,1412,8,7,46,100,142
44,7,18,29,64,20,1464,0,6,7,1
2,0,0,3,0,1,1,1486,61,12,4
13,0,0,5,2,21,2,98,1090,201,16
33,0,0,5,5,44,2,48,204,1185,104
43,0,0,6,17,147,7,20,82,204,1077
1351,4,6,24,108,22,16,6,15,15,5
8,1342,87,102,1,2,9,0,1,1,1
15,76,1085,226,3,2,6,0,0,1,2
17,29,124,1169,1,1,8,0,0,0,0
139,3,2,20,1262,95,38,1,15,27,22
48,2,1,13,61,1409,7,8,48,94,146
39,6,21,31,67,20,1463,0,3,7,3
3,0,0,2,0,1,0,1490,61,10,3
12,0,1,4,1,17,2,98,1084,209,20
38,0,1,6,4,44,1,47,203,1190,96
43,0,0,5,18,137,6,18,81,208,1087
1349,3,6,24,111,16,17,4,17,19,6
8,1343,81,106,1,1,10,0,2,1,1
13,73,1083,231,3,2,8,0,1,0,2
19,32,124,1162,3,0,8,0,0,0,1
144,3,4,24,1253,91,38,1,13,28,25
48,2,0,13,57,1417,8,7,47,98,140
39,7,25,30,66,24,1456,0,4,5,4
2,0,0,3,0,1,1,1488,66,7,2
17,0,0,4,2,18,2,93,1089,203,20
33,1,0,6,3,44,2,50,200,1191,100
40,0,0,6,19,134,5,17,91,199,1092
1345,4,7,18,110,22,18,5,16,19,8
7,1348,83,103,0,2,7,0,2,1,1
14,75,1095,213,2,3,10,0,1,0,3
18,27,115,1172,3,2,11,0,1,0,0
